Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadi�o;224,66;204,48;155,95;153,34;154,52;155,63;156,04;156,60;156,60;155,98;156,60;157,45;150,75;150,90;39,80;23,45;15,65;9,01
20001;Abaltzisketa;1.105,92;641,45;501,63;490,45;469,51;490,45;481,25;490,45;470,22;294,67;293,75;283,02;286,62;286,62;299,05;299,05;109,27;417,57
48002;Abanto y Ci�rvana-Abanto Zierbena;426,97;428,57;308,56;260,39;156,61;154,91;154,78;155,07;153,56;138,27;126,34;125,95;126,37;126,52;16,06;16,15;10,64;22,10
20002;Aduna;4.530,82;4.718,43;257,32;254,66;256,25;256,25;255,72;264,52;258,06;263,38;271,52;268,46;268,46;282,35;309,55;181,13;0,00;0,00
20016;Aia;559,96;537,64;393,02;239,29;211,71;209,41;208,89;199,31;197,63;200,40;177,70;180,00;181,91;156,01;128,86;103,44;9,11;40,85
20003;Aizarnazabal;1.528,70;1.522,61;1.440,99;1.444,73;1.456,09;1.450,39;1.444,73;1.473,47;1.470,20;1.473,47;1.481,33;1.504,07;1.563,38;116,96;125,56;127,74;45,50;101,45
48911;Ajangiz;94,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20004;Albiztur;6.993,55;7.202,66;3.841,06;3.959,04;554,05;543,05;539,47;174,76;166,67;176,47;178,81;170,07;173,01;171,82;180,00;179,40;186,21;0,00
20005;Alegia;74,30;75,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01001;Alegr�a-Dulantzi;733,88;715,64;712,22;686,62;686,50;670,24;678,61;690,87;684,39;674,84;691,10;685,07;705,48;732,57;371,96;399,05;0,00;0,00
20006;Alkiza;592,70;615,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48912;Alonsotegi;19,60;19,59;19,69;20,55;20,34;20,39;20,44;20,32;20,92;20,32;20,34;20,98;21,22;21,14;20,21;20,24;20,45;21,48
20906;Altzaga;283,13;274,85;276,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20007;Altzo;3.469,85;3.663,13;47,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,25
20008;Amezketa;318,13;182,80;88,46;31,52;31,97;31,42;31,49;9,77;10,85;9,48;9,42;10,46;10,52;10,20;9,02;9,08;9,37;0,00
48003;Amorebieta-Etxano;234,28;230,99;122,34;98,03;73,23;62,16;59,64;55,49;56,12;53,19;52,94;53,27;41,99;23,66;20,56;17,37;17,62;20,43
